entity_type,value,count
album_name,Greatest Hits,59.0
album_name,The Elder Scrolls V: Skyrim: Original Game Soundtrack,50.0
album_name,"Metal Fingers Presents: Special Herbs, The Box Set Vol. 0 - 9",49.0
album_name,Hamilton,44.0
album_name,Hamilton (Original Broadway Cast Recording),44.0
album_name,The Complete Max Cavalera Collection 1987 - 1996,41.0
album_name,The Lord Of The Rings - The Return Of The King - The Complete Recordings (Limited Edition),37.0
album_name,The Lord Of The Rings - The Return Of The King - The Complete Recordings,37.0
album_name,Awake,36.0
album_name,The Elder Scrolls Online Original Game Soundtrack,35.0
album_name,Moana,34.0
album_name,Moana (Original Motion Picture Soundtrack/Deluxe Edition),33.0
album_name,The Classic Albums Collection,30.0
album_name,Unplugged,29.0
album_name,Ori and the Blind Forest (Original Soundtrack),29.0
album_name,Dylan,29.0
album_name,"Stranger Things, Vol. 1 (A Netflix Original Series Soundtrack)",29.0
album_name,Ghosts I-IV,28.0
album_name,Assassin's Creed 2 (Original Game Soundtrack),28.0
album_name,Indestructible,27.0
album_name,Blackout,27.0
album_name,The Vikings,27.0
album_name,Iowa,26.0
album_name,Iowa (Reissue),26.0
album_name,Drukqs,26.0
album_name,Spirit,25.0
album_name,Stadium Arcadium,25.0
album_name,Ftl: Faster Than Light - Original Soundtrack,25.0
album_name,Issues,25.0
album_name,Trilogy,25.0
album_name,Cypress Hill/Black Sunday/III-Temples Of Boom,24.0
album_name,The Astonishing,24.0
album_name,Stadium Arcadium (U.S. Version),24.0
album_name,Sandinista!,24.0
album_name,Operation Ivy (2007 Remaster),24.0
album_name,Operation Ivy,24.0
album_name,The Wall,23.0
album_name,The Wall (Remastered),23.0
album_name,Geogaddi,23.0
album_name,California,23.0
album_name,Frozen,23.0
album_name,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),23.0
album_name,The Fall,23.0
album_name,The Beatles,23.0
album_name,The Beatles (Remastered),23.0
album_name,Doom (Original Game Soundtrack),22.0
album_name,The Last of Us,22.0
album_name,Femme Fatale/Circus,22.0
album_name,Fin,22.0
album_name,"Hurry Up, We're Dreaming",22.0
album_name,Silence,21.0
album_name,Horizon Zero Dawn (Original Soundtrack),21.0
album_name,300 Original Motion Picture Soundtrack,21.0
album_name,300 Original Motion Picture Soundtrack (U.S. Version),21.0
album_name,Bastion Original Soundtrack,21.0
album_name,The Full Discover Package,21.0
album_name,Where The Light Is: John Mayer Live In Los Angeles,21.0
album_name,Transistor Original Soundtrack,21.0
album_name,Discovery,21.0
album_name,The Endless River,21.0
album_name,Chronicles,21.0
album_name,Summertime '06,20.0
album_name,Deltron 3030,20.0
album_name,Scott Pilgrim vs. the World: The Game (Original Videogame Soundtrack),20.0
album_name,Dillatronic,20.0
album_name,Trouble,20.0
album_name,World of Warcraft Original Soundtrack,20.0
album_name,Solitude.,20.0
album_name,Roots,20.0
album_name,North,20.0
album_name,You're Dead!,20.0
album_name,The Fragile,20.0
album_name,Korn/Follow The Leader,19.0
album_name,Lungs,19.0
album_name,"Glee: The Music, The Complete Season Three",19.0
album_name,Let's Go,19.0
album_name,Wu-Tang Forever (Explicit),19.0
album_name,More Life,19.0
album_name,Blue,19.0
album_name,Collection,19.0
album_name,Humanz,19.0
album_name,Converting Vegetarians,19.0
album_name,Music Bank,19.0
album_name,Assassin's Creed 4: Black Flag (Original Game Soundtrack),19.0
album_name,BEYONCÉ [Platinum Edition],19.0
album_name,Guardians of the Galaxy (Original Score),19.0
album_name,Guardians of the Galaxy,19.0
album_name,The Perfect Jazz Collection - 25 Original Albums,19.0
album_name,Minecraft - Volume Alpha,19.0
album_name,Paramore,19.0
album_name,Rise,19.0
album_name,The Moldy Peaches,18.0
album_name,In Your Honor,18.0
album_name,Harry Potter and the Prisoner of Azkaban / Original Motion Picture Soundtrack,18.0
album_name,Red Hot Chili Peppers,18.0
album_name,Malibu,18.0
album_name,Old,18.0
album_name,Perception,18.0
tag_list,Rock,18984.0
tag_list,rock,17171.0
tag_list,alternative,11781.0
tag_list,Alternative,11742.0
tag_list,pop,11279.0
tag_list,Pop,10342.0
tag_list,favorites,8825.0
tag_list,alternative rock,8464.0
tag_list,american,8140.0
tag_list,indie,8035.0
tag_list,awesome,7312.0
tag_list,love,7263.0
tag_list,seen live,6321.0
tag_list,electronic,6294.0
tag_list,metal,6265.0
tag_list,beautiful,6106.0
tag_list,00s,5776.0
tag_list,hard rock,5740.0
tag_list,male vocalists,5725.0
tag_list,Metal,5288.0
tag_list,chill,5169.0
tag_list,classic rock,5122.0
tag_list,female vocalists,5035.0
tag_list,favorite,4959.0
tag_list,Electronic,4939.0
tag_list,Hip-Hop/Rap,4849.0
tag_list,90s,4845.0
tag_list,indie rock,4804.0
tag_list,mellow,4763.0
tag_list,chillout,4745.0
tag_list,singer-songwriter,4511.0
tag_list,dance,4288.0
tag_list,male vocalist,4207.0
tag_list,punk,4122.0
tag_list,cool,3876.0
tag_list,hip-hop,3818.0
tag_list,experimental,3812.0
tag_list,80s,3805.0
tag_list,favourites,3730.0
tag_list,pop rock,3708.0
tag_list,amazing,3536.0
tag_list,favorite songs,3502.0
tag_list,soul,3495.0
tag_list,british,3426.0
tag_list,heavy metal,3426.0
tag_list,epic,3391.0
tag_list,love at first listen,3377.0
tag_list,catchy,3285.0
tag_list,guitar,3271.0
tag_list,folk,3215.0
tag_list,acoustic,3189.0
tag_list,rap,3099.0
tag_list,sexy,3098.0
tag_list,favourite,3078.0
tag_list,soundtrack,3077.0
tag_list,instrumental,3059.0
tag_list,electronica,3047.0
tag_list,ambient,3014.0
tag_list,hardcore,3007.0
tag_list,classic,3003.0
tag_list,hip hop,2996.0
tag_list,emo,2985.0
tag_list,sad,2983.0
tag_list,punk rock,2973.0
tag_list,Dance,2893.0
tag_list,loved,2853.0
tag_list,6 of 10 stars,2834.0
tag_list,R&B/Soul,2833.0
tag_list,female vocalist,2824.0
tag_list,2000s,2797.0
tag_list,fun,2781.0
tag_list,easy listening,2771.0
tag_list,progressive rock,2705.0
tag_list,Hard Rock,2702.0
tag_list,indie pop,2683.0
tag_list,10s,2658.0
tag_list,8 of 10 stars,2639.0
tag_list,party,2638.0
tag_list,happy,2516.0
tag_list,melancholy,2509.0
tag_list,70s,2492.0
tag_list,rnb,2447.0
tag_list,usa,2420.0
tag_list,jazz,2360.0
tag_list,fucking awesome,2294.0
tag_list,heard on pandora,2293.0
tag_list,funk,2248.0
tag_list,oldies,2235.0
tag_list,psychedelic,2206.0
tag_list,upbeat,2169.0
tag_list,ballad,2134.0
tag_list,soft rock,2127.0
tag_list,piano,2125.0
tag_list,good,2124.0
tag_list,melancholic,2117.0
tag_list,metalcore,2111.0
tag_list,Soundtracks,2101.0
tag_list,summer,2076.0
tag_list,blues,2063.0
tag_list,fip,2052.0
track_popularity,2b837267-c128-4b12-9921-e6485353cc4e,93.0
track_popularity,189f6360-072e-4bcf-a2e6-60b8ddbc583e,92.0
track_popularity,c27aeae0-8d82-46cb-abd9-35d9937b1ce9,92.0
track_popularity,0d72788d-e3de-4d24-890f-401e27f00b87,92.0
track_popularity,f3b862da-7e25-4f1d-b19b-723bad73a51b,90.0
track_popularity,81ccf51e-95c6-4ed6-9cd2-f739b68030a9,90.0
track_popularity,48bee722-061c-49a3-bec5-e4b5df93d9c4,90.0
track_popularity,f11b18e9-63c5-4320-a468-678cf52b17ea,90.0
track_popularity,46b8d378-c1d2-419f-b026-4c4ed53617be,90.0
track_popularity,cbd247bd-0a87-4c5b-82da-9319c1e8ee0c,90.0
track_popularity,ea768909-b3fd-4bc1-9f2c-fdf1a7ecd27e,90.0
track_popularity,ffc14c3d-21b1-4938-b58e-28c21c4d39a3,90.0
track_popularity,0342221f-1220-4784-86c7-44e30354a1d9,90.0
track_popularity,0622e610-4fb0-4d0d-b4f9-4a25c9507e2f,90.0
track_popularity,e242389b-17fd-449a-aabd-6596119bce17,90.0
track_popularity,bcb946dd-876c-4df4-b683-3046cfddee31,90.0
track_popularity,17d99392-78b8-485e-9329-44bdf1cbe289,89.0
track_popularity,407bbe04-ff88-4dfe-8114-10a95b523592,89.0
track_popularity,debb9a70-3f94-472b-9627-dcfa96f9c497,89.0
track_popularity,6e257dc1-fe8b-4f33-b9b7-b5ef058dd111,89.0
track_popularity,0de8f56c-f2c4-453c-af0e-874ee4a0dbab,89.0
track_popularity,680eab34-1014-454c-ba5b-cbeb089d0bdf,89.0
track_popularity,92c002ac-488d-47ee-8c7a-f1354b6cd941,89.0
track_popularity,7658957a-2944-4619-8c60-ff9065c0fb89,89.0
track_popularity,52a2dc35-fb46-4233-bff7-c4e688a336f3,88.0
track_popularity,425c0307-9479-41c8-9910-0006480c156a,88.0
track_popularity,84dd539e-6ac4-49d1-8494-be3ed68db0dd,88.0
track_popularity,91e3b516-8d17-4031-b75f-4022c5fab076,88.0
track_popularity,9fc052f3-fc7c-400e-a55d-96ec3e9625cc,88.0
track_popularity,893ac2ae-35a8-4490-86f0-427c208d4bb9,88.0
track_popularity,0888bb9e-b47c-49ef-ab1d-3a1b9b8a8bf4,88.0
track_popularity,59f8be05-193a-4112-87f3-1affe08d9865,88.0
track_popularity,248c7334-a899-4d53-a19f-c948dd833b1f,88.0
track_popularity,1d4a4644-2e4c-4b11-b313-ff45925094b9,88.0
track_popularity,6a5cd20a-dd43-4bb1-9c64-e7dc6a2f41c8,88.0
track_popularity,62c5b6ea-4a55-4a74-8c40-9d2d818276a4,88.0
track_popularity,0db8554b-6c41-4fce-bcf9-69c4e1ce2824,88.0
track_popularity,6348f6d3-1d45-4349-9f3e-0c6a06df4abb,88.0
track_popularity,ca6e49bd-c124-4398-9eed-c4eb8a56eb87,88.0
track_popularity,daf4deb0-0e11-4d43-a6bb-3b92433c0eee,87.0
track_popularity,3b08891f-8ba3-4d9b-b0ab-4f9afa5b58dd,87.0
track_popularity,e5f42da3-1b91-48d2-8951-d2af27bcebce,87.0
track_popularity,6aebfadb-8d4e-4ac4-994f-1ccb3f6e87f5,87.0
track_popularity,00cc5d61-3ba2-4875-b76e-fe7b69e034cb,87.0
track_popularity,70dc598a-8374-4de8-80df-90398da589dc,87.0
track_popularity,9df0d725-cd35-43cf-81dc-ba4dd8d41df7,87.0
track_popularity,707d63de-3ecd-47f1-8b22-21d73207dd96,87.0
track_popularity,b420dd2b-0cbc-4dd7-8a9f-724259531aed,87.0
track_popularity,b6381485-3983-4703-8e46-445c6d5ddc3d,87.0
track_popularity,82cf20ec-937c-4290-ad6d-017a4ce506f0,87.0
track_popularity,c6940329-ed11-4f73-b3e1-b4547ac844d5,87.0
track_popularity,30415f16-90c4-46b0-8d11-8d24b5104f70,87.0
track_popularity,ca2cefae-8c12-4c87-b2b8-d2f72842aed5,87.0
track_popularity,fc0fb979-a038-4cd8-bbef-5594f73523d7,87.0
track_popularity,b6ce3f54-aa95-4e1a-bcda-0070b9982175,87.0
track_popularity,310649e4-ac64-4f51-8c1c-f898b68c3c7f,87.0
track_popularity,bd4935bc-d00c-43a4-a7c9-a3e799565661,87.0
track_popularity,72b0c776-cf6f-4080-a610-387ce2458367,87.0
track_popularity,d95b0542-770c-436d-9ab0-e714b1f8e960,87.0
track_popularity,1202e6a2-a1d3-4908-a8e1-cffcc9ebd078,87.0
track_popularity,6c83c4ad-52ed-4460-a46c-985d9058f8f7,87.0
track_popularity,bc3d44ba-84dc-4705-90a7-7f40abf647bd,86.0
track_popularity,a715a017-be4f-4dd6-aeb6-b6363daef2e8,86.0
track_popularity,3ce45f50-a42a-42f8-9aa0-19045919e21e,86.0
track_popularity,bf79bd94-ad4c-478c-8f48-913b451af11a,86.0
track_popularity,0c73d582-f0f1-40a3-94b1-016ba1180a13,86.0
track_popularity,14fa3c41-c129-44a5-8bc7-0e23f9aca3f4,86.0
track_popularity,9906b796-9c23-427c-97f8-f02227a877c5,86.0
track_popularity,b68e8e02-94bd-4d6e-a91f-98abeecbe672,86.0
track_popularity,0ac3a21a-a09a-424e-9b3d-b34616cdff80,86.0
track_popularity,1e7b19d5-4301-43ed-8e6b-f557637fc2bb,86.0
track_popularity,2d688a05-7ed2-4729-a43a-7549f63c7529,86.0
track_popularity,63c5966b-598d-457b-b30b-a240bb683ce4,86.0
track_popularity,b6bfaf7c-8793-4d91-b8df-ec11fd6ec81a,86.0
track_popularity,af31e859-23a8-4e73-ba68-bf94ec87897f,86.0
track_popularity,0c6b6ba7-4ce2-492f-9b16-02b8fa0907a0,86.0
track_popularity,d917cac6-85be-400e-a0ac-8be52225cb97,86.0
track_popularity,1aba931a-164a-46ed-b4dd-6e3fd841c9c1,86.0
track_popularity,389965ae-3e1e-49a9-b41c-3cebe76fd7af,86.0
track_popularity,c6ebb55f-5e20-4802-a0ee-765040c4d6b0,86.0
track_popularity,fd777591-2c63-40af-bb62-ee2c9899baaa,86.0
track_popularity,9f4eff17-4aac-468c-bae4-7a3d837e4df4,86.0
track_popularity,f204633b-885f-4bb4-a586-32bf3596e350,85.0
track_popularity,7459b6f3-3502-4d6e-be71-2f8c1cf739d2,85.0
track_popularity,fd035677-fcce-466b-84cf-0d39d208ac9d,85.0
track_popularity,0ac58f2d-84dc-464c-a73d-00afa81a5ebe,85.0
track_popularity,914bf9cb-3f2c-4c58-a6fd-ebcdbe772d3d,85.0
track_popularity,2f8ab8da-6aab-4dd0-a033-ae740f543499,85.0
track_popularity,8942a947-6be3-435f-aa05-62474117d9c8,85.0
track_popularity,315832b6-a3de-4f0b-a82d-4a5c8549b378,85.0
track_popularity,45aedc54-8d0e-4219-bf13-6959c5b52e63,85.0
track_popularity,c5680486-ec2d-480e-a2b7-34ea8f1c620b,85.0
track_popularity,692333fd-4260-495a-bc6d-15fa8577fb3f,85.0
track_popularity,3bd13b1d-ee9e-46e5-92ca-a8f039226674,85.0
track_popularity,f1869385-f814-454c-9843-95b2433aee7e,85.0
track_popularity,275e4191-c60a-410c-afd8-956aca43317f,85.0
track_popularity,fff1e0ce-fc65-482e-be72-0782b2c15c24,85.0
track_popularity,7f0076db-2cca-4573-81fc-c3c556d08643,85.0
track_popularity,19a085c1-df72-4fa9-bb9b-a2af3188036f,85.0
track_popularity,da919ff0-0b6e-4d53-b6d0-c586cd54ac71,85.0
