split,scope,goal_category,goal_specificity,repeat_type,events,eligible_events,hits,rate,eligible_rate,avg_tag_jaccard
dev_test,combined,H,HL,exact,384,364,11,0.028645833333333332,0.03021978021978022,0.06858780239747035
dev_test,combined,H,HL,tag,384,364,353,0.9192708333333334,0.9697802197802198,0.06858780239747035
dev_test,combined,H,LH,album,312,299,116,0.3717948717948718,0.3879598662207358,0.0654908285238093
dev_test,combined,H,LH,artist,312,299,169,0.5416666666666666,0.5652173913043478,0.0654908285238093
dev_test,combined,H,LH,exact,312,299,10,0.03205128205128205,0.033444816053511704,0.0654908285238093
dev_test,combined,H,LH,tag,312,299,296,0.9487179487179487,0.9899665551839465,0.0654908285238093
dev_test,combined,H,LL,album,272,255,77,0.28308823529411764,0.30196078431372547,0.06629039663302064
dev_test,combined,H,LL,artist,272,255,112,0.4117647058823529,0.4392156862745098,0.06629039663302064
dev_test,combined,H,LL,exact,272,255,2,0.007352941176470588,0.00784313725490196,0.06629039663302064
dev_test,combined,H,LL,tag,272,255,248,0.9117647058823529,0.9725490196078431,0.06629039663302064
dev_test,combined,I,HH,album,24,22,6,0.25,0.2727272727272727,0.09924440899445898
dev_test,combined,I,HH,artist,24,22,8,0.3333333333333333,0.36363636363636365,0.09924440899445898
dev_test,combined,I,HH,exact,24,22,2,0.08333333333333333,0.09090909090909091,0.09924440899445898
dev_test,combined,I,HH,tag,24,22,22,0.9166666666666666,1.0,0.09924440899445898
dev_test,combined,I,HL,album,16,14,4,0.25,0.2857142857142857,0.04659794936432582
dev_test,combined,I,HL,artist,16,14,4,0.25,0.2857142857142857,0.04659794936432582
dev_test,combined,I,HL,exact,16,14,0,0.0,0.0,0.04659794936432582
dev_test,combined,I,HL,tag,16,14,14,0.875,1.0,0.04659794936432582
dev_test,combined,I,LH,album,64,60,24,0.375,0.4,0.0768734182453151
dev_test,combined,I,LH,artist,64,60,29,0.453125,0.48333333333333334,0.0768734182453151
dev_test,combined,I,LH,exact,64,60,12,0.1875,0.2,0.0768734182453151
dev_test,combined,I,LH,tag,64,60,59,0.921875,0.9833333333333333,0.0768734182453151
dev_test,combined,I,LL,album,40,36,2,0.05,0.05555555555555555,0.05306004290237922
dev_test,combined,I,LL,artist,40,36,7,0.175,0.19444444444444445,0.05306004290237922
dev_test,combined,I,LL,exact,40,36,0,0.0,0.0,0.05306004290237922
dev_test,combined,I,LL,tag,40,36,29,0.725,0.8055555555555556,0.05306004290237922
dev_test,combined,J,HH,album,80,73,26,0.325,0.3561643835616438,0.0977439911994326
dev_test,combined,J,HH,artist,80,73,42,0.525,0.5753424657534246,0.0977439911994326
dev_test,combined,J,HH,exact,80,73,1,0.0125,0.0136986301369863,0.0977439911994326
dev_test,combined,J,HH,tag,80,73,70,0.875,0.958904109589041,0.0977439911994326
dev_test,combined,J,HL,album,240,223,82,0.3416666666666667,0.36771300448430494,0.08176773183176252
dev_test,combined,J,HL,artist,240,223,121,0.5041666666666667,0.5426008968609866,0.08176773183176252
dev_test,combined,J,HL,exact,240,223,12,0.05,0.053811659192825115,0.08176773183176252
dev_test,combined,J,HL,tag,240,223,213,0.8875,0.9551569506726457,0.08176773183176252
dev_test,combined,J,LH,album,128,118,43,0.3359375,0.3644067796610169,0.0723830884886906
dev_test,combined,J,LH,artist,128,118,57,0.4453125,0.4830508474576271,0.0723830884886906
dev_test,combined,J,LH,exact,128,118,4,0.03125,0.03389830508474576,0.0723830884886906
dev_test,combined,J,LH,tag,128,118,114,0.890625,0.9661016949152542,0.0723830884886906
dev_test,combined,J,LL,album,168,159,35,0.20833333333333334,0.22012578616352202,0.05218715286151347
dev_test,combined,J,LL,artist,168,159,46,0.27380952380952384,0.2893081761006289,0.05218715286151347
dev_test,combined,J,LL,exact,168,159,4,0.023809523809523808,0.025157232704402517,0.05218715286151347
dev_test,combined,J,LL,tag,168,159,155,0.9226190476190477,0.9748427672955975,0.05218715286151347
dev_test,combined,K,HH,album,120,116,38,0.31666666666666665,0.3275862068965517,0.046407580981138764
dev_test,combined,K,HH,artist,120,116,47,0.39166666666666666,0.4051724137931034,0.046407580981138764
dev_test,combined,K,HH,exact,120,116,9,0.075,0.07758620689655173,0.046407580981138764
dev_test,combined,K,HH,tag,120,116,115,0.9583333333333334,0.9913793103448276,0.046407580981138764
dev_test,combined,K,HL,album,352,332,108,0.3068181818181818,0.3253012048192771,0.060893894396802525
dev_test,combined,K,HL,artist,352,332,159,0.45170454545454547,0.4789156626506024,0.060893894396802525
dev_test,combined,K,HL,exact,352,332,14,0.03977272727272727,0.04216867469879518,0.060893894396802525
dev_test,combined,K,HL,tag,352,332,323,0.9176136363636364,0.9728915662650602,0.060893894396802525
dev_test,combined,K,LH,album,376,355,120,0.3191489361702128,0.3380281690140845,0.05946961840133355
dev_test,combined,K,LH,artist,376,355,176,0.46808510638297873,0.49577464788732395,0.05946961840133355
dev_test,combined,K,LH,exact,376,355,10,0.026595744680851064,0.028169014084507043,0.05946961840133355
dev_test,combined,K,LH,tag,376,355,349,0.9281914893617021,0.9830985915492958,0.05946961840133355
dev_test,combined,K,LL,album,400,373,92,0.23,0.24664879356568364,0.06972699730139743
dev_test,combined,K,LL,artist,400,373,142,0.355,0.3806970509383378,0.06972699730139743
dev_test,combined,K,LL,exact,400,373,12,0.03,0.032171581769437,0.06972699730139743
dev_test,combined,K,LL,tag,400,373,368,0.92,0.9865951742627346,0.06972699730139743
dev_test,session,A,HL,album,208,182,56,0.2692307692307692,0.3076923076923077,0.10709444898403937
dev_test,session,A,HL,artist,208,182,86,0.41346153846153844,0.4725274725274725,0.10709444898403937
dev_test,session,A,HL,exact,208,182,0,0.0,0.0,0.10709444898403937
dev_test,session,A,HL,tag,208,182,174,0.8365384615384616,0.9560439560439561,0.10709444898403937
dev_test,session,A,LH,album,104,91,36,0.34615384615384615,0.3956043956043956,0.09889962925158888
dev_test,session,A,LH,artist,104,91,50,0.4807692307692308,0.5494505494505495,0.09889962925158888
dev_test,session,A,LH,exact,104,91,0,0.0,0.0,0.09889962925158888
dev_test,session,A,LH,tag,104,91,90,0.8653846153846154,0.989010989010989,0.09889962925158888
dev_test,session,A,LL,album,176,154,66,0.375,0.42857142857142855,0.11652379301935395
dev_test,session,A,LL,artist,176,154,79,0.44886363636363635,0.512987012987013,0.11652379301935395
dev_test,session,A,LL,exact,176,154,0,0.0,0.0,0.11652379301935395
dev_test,session,A,LL,tag,176,154,152,0.8636363636363636,0.987012987012987,0.11652379301935395
dev_test,session,B,HH,album,176,154,59,0.3352272727272727,0.38311688311688313,0.10272826212618638
dev_test,session,B,HH,artist,176,154,90,0.5113636363636364,0.5844155844155844,0.10272826212618638
dev_test,session,B,HH,exact,176,154,0,0.0,0.0,0.10272826212618638
dev_test,session,B,HH,tag,176,154,149,0.8465909090909091,0.9675324675324676,0.10272826212618638
dev_test,session,B,HL,album,336,294,125,0.37202380952380953,0.42517006802721086,0.10186203811947758
dev_test,session,B,HL,artist,336,294,171,0.5089285714285714,0.5816326530612245,0.10186203811947758
dev_test,session,B,HL,exact,336,294,0,0.0,0.0,0.10186203811947758
dev_test,session,B,HL,tag,336,294,286,0.8511904761904762,0.9727891156462585,0.10186203811947758
dev_test,session,B,LH,album,280,245,73,0.26071428571428573,0.2979591836734694,0.0998457665779673
dev_test,session,B,LH,artist,280,245,125,0.44642857142857145,0.5102040816326531,0.0998457665779673
dev_test,session,B,LH,exact,280,245,0,0.0,0.0,0.0998457665779673
dev_test,session,B,LH,tag,280,245,240,0.8571428571428571,0.9795918367346939,0.0998457665779673
dev_test,session,B,LL,album,344,301,99,0.2877906976744186,0.3289036544850498,0.08660802235616892
dev_test,session,B,LL,artist,344,301,132,0.38372093023255816,0.43853820598006643,0.08660802235616892
dev_test,session,B,LL,exact,344,301,0,0.0,0.0,0.08660802235616892
dev_test,session,B,LL,tag,344,301,292,0.8488372093023255,0.9700996677740864,0.08660802235616892
dev_test,session,C,HH,album,8,7,0,0.0,0.0,0.04774253880479811
dev_test,session,C,HH,artist,8,7,0,0.0,0.0,0.04774253880479811
dev_test,session,C,HH,exact,8,7,0,0.0,0.0,0.04774253880479811
dev_test,session,C,HH,tag,8,7,6,0.75,0.8571428571428571,0.04774253880479811
dev_test,session,C,HL,album,64,56,21,0.328125,0.375,0.1377656413711819
dev_test,session,C,HL,artist,64,56,28,0.4375,0.5,0.1377656413711819
dev_test,session,C,HL,exact,64,56,0,0.0,0.0,0.1377656413711819
dev_test,session,C,HL,tag,64,56,53,0.828125,0.9464285714285714,0.1377656413711819
dev_test,session,C,LH,album,256,224,82,0.3203125,0.36607142857142855,0.1148697641739331
dev_test,session,C,LH,artist,256,224,103,0.40234375,0.45982142857142855,0.1148697641739331
dev_test,session,C,LH,exact,256,224,0,0.0,0.0,0.1148697641739331
dev_test,session,C,LH,tag,256,224,211,0.82421875,0.9419642857142857,0.1148697641739331
dev_test,session,C,LL,album,136,119,27,0.19852941176470587,0.226890756302521,0.10013445092749435
dev_test,session,C,LL,artist,136,119,46,0.3382352941176471,0.3865546218487395,0.10013445092749435
dev_test,session,C,LL,exact,136,119,0,0.0,0.0,0.10013445092749435
dev_test,session,C,LL,tag,136,119,117,0.8602941176470589,0.9831932773109243,0.10013445092749435
dev_test,session,D,HH,album,96,84,29,0.3020833333333333,0.34523809523809523,0.20482495382780272
dev_test,session,D,HH,artist,96,84,39,0.40625,0.4642857142857143,0.20482495382780272
dev_test,session,D,HH,exact,96,84,0,0.0,0.0,0.20482495382780272
dev_test,session,D,HH,tag,96,84,83,0.8645833333333334,0.9880952380952381,0.20482495382780272
dev_test,session,D,HL,album,224,196,52,0.23214285714285715,0.2653061224489796,0.08480336181794303
dev_test,session,D,HL,artist,224,196,81,0.36160714285714285,0.413265306122449,0.08480336181794303
dev_test,session,D,HL,exact,224,196,0,0.0,0.0,0.08480336181794303
dev_test,session,D,HL,tag,224,196,187,0.8348214285714286,0.9540816326530612,0.08480336181794303
dev_test,session,D,LH,album,208,182,65,0.3125,0.35714285714285715,0.12890192162745467
dev_test,session,D,LH,artist,208,182,86,0.41346153846153844,0.4725274725274725,0.12890192162745467
dev_test,session,D,LH,exact,208,182,0,0.0,0.0,0.12890192162745467
dev_test,session,D,LH,tag,208,182,180,0.8653846153846154,0.989010989010989,0.12890192162745467
dev_test,session,D,LL,album,160,140,54,0.3375,0.38571428571428573,0.12927863613092888
dev_test,session,D,LL,artist,160,140,71,0.44375,0.5071428571428571,0.12927863613092888
dev_test,session,D,LL,exact,160,140,0,0.0,0.0,0.12927863613092888
dev_test,session,D,LL,tag,160,140,129,0.80625,0.9214285714285714,0.12927863613092888
dev_test,session,E,HH,album,64,56,27,0.421875,0.48214285714285715,0.15150204739251222
dev_test,session,E,HH,artist,64,56,35,0.546875,0.625,0.15150204739251222
dev_test,session,E,HH,exact,64,56,0,0.0,0.0,0.15150204739251222
dev_test,session,E,HH,tag,64,56,56,0.875,1.0,0.15150204739251222
dev_test,session,E,HL,album,128,112,26,0.203125,0.23214285714285715,0.129720347461033
dev_test,session,E,HL,artist,128,112,29,0.2265625,0.25892857142857145,0.129720347461033
dev_test,session,E,HL,exact,128,112,0,0.0,0.0,0.129720347461033
dev_test,session,E,HL,tag,128,112,105,0.8203125,0.9375,0.129720347461033
dev_test,session,E,LH,album,352,308,114,0.32386363636363635,0.37012987012987014,0.10073012494338919
dev_test,session,E,LH,artist,352,308,150,0.42613636363636365,0.487012987012987,0.10073012494338919
dev_test,session,E,LH,exact,352,308,0,0.0,0.0,0.10073012494338919
dev_test,session,E,LH,tag,352,308,300,0.8522727272727273,0.974025974025974,0.10073012494338919
dev_test,session,E,LL,album,216,189,65,0.30092592592592593,0.3439153439153439,0.11312154203163592
dev_test,session,E,LL,artist,216,189,91,0.4212962962962963,0.48148148148148145,0.11312154203163592
dev_test,session,E,LL,exact,216,189,0,0.0,0.0,0.11312154203163592
dev_test,session,E,LL,tag,216,189,185,0.8564814814814815,0.9788359788359788,0.11312154203163592
dev_test,session,F,HH,album,96,84,44,0.4583333333333333,0.5238095238095238,0.14849624136136666
dev_test,session,F,HH,artist,96,84,51,0.53125,0.6071428571428571,0.14849624136136666
dev_test,session,F,HH,exact,96,84,0,0.0,0.0,0.14849624136136666
dev_test,session,F,HH,tag,96,84,77,0.8020833333333334,0.9166666666666666,0.14849624136136666
dev_test,session,F,HL,album,256,224,85,0.33203125,0.3794642857142857,0.10924189025562342
dev_test,session,F,HL,artist,256,224,116,0.453125,0.5178571428571429,0.10924189025562342
dev_test,session,F,HL,exact,256,224,0,0.0,0.0,0.10924189025562342
dev_test,session,F,HL,tag,256,224,217,0.84765625,0.96875,0.10924189025562342
dev_test,session,F,LH,album,248,217,77,0.31048387096774194,0.3548387096774194,0.10396245853715874
dev_test,session,F,LH,artist,248,217,112,0.45161290322580644,0.5161290322580645,0.10396245853715874
dev_test,session,F,LH,exact,248,217,0,0.0,0.0,0.10396245853715874
dev_test,session,F,LH,tag,248,217,200,0.8064516129032258,0.9216589861751152,0.10396245853715874
dev_test,session,F,LL,album,160,140,27,0.16875,0.19285714285714287,0.08695799960368551
dev_test,session,F,LL,artist,160,140,45,0.28125,0.32142857142857145,0.08695799960368551
dev_test,session,F,LL,exact,160,140,0,0.0,0.0,0.08695799960368551
dev_test,session,F,LL,tag,160,140,136,0.85,0.9714285714285714,0.08695799960368551
dev_test,session,G,HH,album,40,35,13,0.325,0.37142857142857144,0.10658220986549741
dev_test,session,G,HH,artist,40,35,19,0.475,0.5428571428571428,0.10658220986549741
dev_test,session,G,HH,exact,40,35,0,0.0,0.0,0.10658220986549741
dev_test,session,G,HH,tag,40,35,33,0.825,0.9428571428571428,0.10658220986549741
dev_test,session,G,HL,album,248,217,75,0.3024193548387097,0.3456221198156682,0.1152692228622816
dev_test,session,G,HL,artist,248,217,102,0.4112903225806452,0.4700460829493088,0.1152692228622816
dev_test,session,G,HL,exact,248,217,0,0.0,0.0,0.1152692228622816
dev_test,session,G,HL,tag,248,217,204,0.8225806451612904,0.9400921658986175,0.1152692228622816
dev_test,session,G,LH,album,176,154,36,0.20454545454545456,0.23376623376623376,0.07934284120975045
dev_test,session,G,LH,artist,176,154,70,0.3977272727272727,0.45454545454545453,0.07934284120975045
dev_test,session,G,LH,exact,176,154,0,0.0,0.0,0.07934284120975045
dev_test,session,G,LH,tag,176,154,149,0.8465909090909091,0.9675324675324676,0.07934284120975045
dev_test,session,G,LL,album,152,133,33,0.21710526315789475,0.24812030075187969,0.10572010462415944
dev_test,session,G,LL,artist,152,133,51,0.3355263157894737,0.38345864661654133,0.10572010462415944
dev_test,session,G,LL,exact,152,133,0,0.0,0.0,0.10572010462415944
dev_test,session,G,LL,tag,152,133,125,0.8223684210526315,0.9398496240601504,0.10572010462415944
dev_test,session,H,HH,album,112,98,51,0.45535714285714285,0.5204081632653061,0.1454397165764398
dev_test,session,H,HH,artist,112,98,72,0.6428571428571429,0.7346938775510204,0.1454397165764398
dev_test,session,H,HH,exact,112,98,0,0.0,0.0,0.1454397165764398
dev_test,session,H,HH,tag,112,98,97,0.8660714285714286,0.9897959183673469,0.1454397165764398
dev_test,session,H,HL,album,384,336,102,0.265625,0.30357142857142855,0.10640905748259295
dev_test,session,H,HL,artist,384,336,144,0.375,0.42857142857142855,0.10640905748259295
dev_test,session,H,HL,exact,384,336,0,0.0,0.0,0.10640905748259295
dev_test,session,H,HL,tag,384,336,323,0.8411458333333334,0.9613095238095238,0.10640905748259295
dev_test,session,H,LH,album,312,273,99,0.3173076923076923,0.3626373626373626,0.09647513436460162
dev_test,session,H,LH,artist,312,273,146,0.46794871794871795,0.5347985347985348,0.09647513436460162
dev_test,session,H,LH,exact,312,273,0,0.0,0.0,0.09647513436460162
dev_test,session,H,LH,tag,312,273,271,0.8685897435897436,0.9926739926739927,0.09647513436460162
dev_test,session,H,LL,album,272,238,67,0.24632352941176472,0.2815126050420168,0.09363677540130176
dev_test,session,H,LL,artist,272,238,94,0.34558823529411764,0.3949579831932773,0.09363677540130176
dev_test,session,H,LL,exact,272,238,0,0.0,0.0,0.09363677540130176
dev_test,session,H,LL,tag,272,238,225,0.8272058823529411,0.9453781512605042,0.09363677540130176
dev_test,session,I,HH,album,24,21,3,0.125,0.14285714285714285,0.09398384356585747
dev_test,session,I,HH,artist,24,21,5,0.20833333333333334,0.23809523809523808,0.09398384356585747
dev_test,session,I,HH,exact,24,21,0,0.0,0.0,0.09398384356585747
dev_test,session,I,HH,tag,24,21,21,0.875,1.0,0.09398384356585747
dev_test,session,I,HL,album,16,14,4,0.25,0.2857142857142857,0.04659794936432582
dev_test,session,I,HL,artist,16,14,4,0.25,0.2857142857142857,0.04659794936432582
dev_test,session,I,HL,exact,16,14,0,0.0,0.0,0.04659794936432582
dev_test,session,I,HL,tag,16,14,14,0.875,1.0,0.04659794936432582
dev_test,session,I,LH,album,64,56,12,0.1875,0.21428571428571427,0.08301110689792253
dev_test,session,I,LH,artist,64,56,20,0.3125,0.35714285714285715,0.08301110689792253
dev_test,session,I,LH,exact,64,56,0,0.0,0.0,0.08301110689792253
dev_test,session,I,LH,tag,64,56,55,0.859375,0.9821428571428571,0.08301110689792253
