split,scope,turn_number,repeat_type,events,eligible_events,hits,rate,eligible_rate,avg_tag_jaccard
dev_test,user,8,artist,1000,500,111,0.111,0.222,0.018228838782848294
dev_test,user,8,exact,1000,500,27,0.027,0.054,0.018228838782848294
dev_test,user,8,tag,1000,500,472,0.472,0.944,0.018228838782848294
train,combined,1,album,15199,6608,1576,0.10369103230475689,0.23849878934624696,0.023308734000237207
train,combined,1,artist,15199,6608,2090,0.13750904664780578,0.31628329297820823,0.023308734000237207
train,combined,1,exact,15199,6608,853,0.05612211329692743,0.1290859564164649,0.023308734000237207
train,combined,1,tag,15199,6608,6396,0.42081715902362,0.9679176755447942,0.023308734000237207
train,combined,2,album,15199,15199,7258,0.47753141654056186,0.47753141654056186,0.13766395819906724
train,combined,2,artist,15199,15199,10552,0.6942562010658596,0.6942562010658596,0.13766395819906724
train,combined,2,exact,15199,15199,812,0.05342456740575038,0.05342456740575038,0.13766395819906724
train,combined,2,tag,15199,15199,14934,0.9825646424106849,0.9825646424106849,0.13766395819906724
train,combined,3,album,15199,15199,7710,0.5072702151457332,0.5072702151457332,0.1275625523044822
train,combined,3,artist,15199,15199,10361,0.681689584841108,0.681689584841108,0.1275625523044822
train,combined,3,exact,15199,15199,753,0.049542733074544376,0.049542733074544376,0.1275625523044822
train,combined,3,tag,15199,15199,15034,0.989144022633068,0.989144022633068,0.1275625523044822
train,combined,4,album,15199,15199,8015,0.5273373248240015,0.5273373248240015,0.11380199109684
train,combined,4,artist,15199,15199,10398,0.6841239555233897,0.6841239555233897,0.11380199109684
train,combined,4,exact,15199,15199,736,0.04842423843673926,0.04842423843673926,0.11380199109684
train,combined,4,tag,15199,15199,15074,0.9917757747220212,0.9917757747220212,0.11380199109684
train,combined,5,album,15199,15199,8157,0.5366800447397855,0.5366800447397855,0.10302666685512955
train,combined,5,artist,15199,15199,10346,0.6807026778077505,0.6807026778077505,0.10302666685512955
train,combined,5,exact,15199,15199,654,0.043029146654385154,0.043029146654385154,0.10302666685512955
train,combined,5,tag,15199,15199,15096,0.9932232383709455,0.9932232383709455,0.10302666685512955
train,combined,6,album,15199,15199,8325,0.5477334035133891,0.5477334035133891,0.09295264485692337
train,combined,6,artist,15199,15199,10331,0.679715770774393,0.679715770774393,0.09295264485692337
train,combined,6,exact,15199,15199,638,0.041976445818803866,0.041976445818803866,0.09295264485692337
train,combined,6,tag,15199,15199,15098,0.9933548259753932,0.9933548259753932,0.09295264485692337
train,combined,7,album,15199,15199,8376,0.5510888874268044,0.5510888874268044,0.08600250826962143
train,combined,7,artist,15199,15199,10260,0.6750444108165011,0.6750444108165011,0.08600250826962143
train,combined,7,exact,15199,15199,647,0.04256859003881834,0.04256859003881834,0.08600250826962143
train,combined,7,tag,15199,15199,15104,0.9937495887887361,0.9937495887887361,0.08600250826962143
train,combined,8,album,15199,15199,8396,0.552404763471281,0.552404763471281,0.07940173888289007
train,combined,8,artist,15199,15199,10275,0.6760313178498586,0.6760313178498586,0.07940173888289007
train,combined,8,exact,15199,15199,625,0.04112112638989407,0.04112112638989407,0.07940173888289007
train,combined,8,tag,15199,15199,15090,0.9928284755576025,0.9928284755576025,0.07940173888289007
train,session,1,album,15199,0,0,0.0,0.0,0.0
train,session,1,artist,15199,0,0,0.0,0.0,0.0
train,session,1,exact,15199,0,0,0.0,0.0,0.0
train,session,1,tag,15199,0,0,0.0,0.0,0.0
train,session,2,album,15199,15199,6468,0.4255543127837358,0.4255543127837358,0.19697789376392574
train,session,2,artist,15199,15199,10014,0.6588591354694388,0.6588591354694388,0.19697789376392574
train,session,2,exact,15199,15199,0,0.0,0.0,0.19697789376392574
train,session,2,tag,15199,15199,14770,0.9717744588459767,0.9717744588459767,0.19697789376392574
train,session,3,album,15199,15199,7035,0.4628593986446477,0.4628593986446477,0.1795749338424921
train,session,3,artist,15199,15199,9874,0.6496480031581026,0.6496480031581026,0.1795749338424921
train,session,3,exact,15199,15199,0,0.0,0.0,0.1795749338424921
train,session,3,tag,15199,15199,14956,0.9840121060596092,0.9840121060596092,0.1795749338424921
train,session,4,album,15199,15199,7390,0.4862161984341075,0.4862161984341075,0.15726021960885977
train,session,4,artist,15199,15199,9893,0.6508980854003553,0.6508980854003553,0.15726021960885977
train,session,4,exact,15199,15199,0,0.0,0.0,0.15726021960885977
train,session,4,tag,15199,15199,15023,0.9884202908086058,0.9884202908086058,0.15726021960885977
train,session,5,album,15199,15199,7646,0.5030594118034081,0.5030594118034081,0.1395893197037903
train,session,5,artist,15199,15199,9881,0.6501085597736693,0.6501085597736693,0.1395893197037903
train,session,5,exact,15199,15199,0,0.0,0.0,0.1395893197037903
train,session,5,tag,15199,15199,15050,0.9901967234686493,0.9901967234686493,0.1395893197037903
train,session,6,album,15199,15199,7820,0.5145075333903546,0.5145075333903546,0.12470664645165279
train,session,6,artist,15199,15199,9891,0.6507664977959077,0.6507664977959077,0.12470664645165279
train,session,6,exact,15199,15199,0,0.0,0.0,0.12470664645165279
train,session,6,tag,15199,15199,15045,0.9898677544575301,0.9898677544575301,0.12470664645165279
train,session,7,album,15199,15199,7882,0.5185867491282321,0.5185867491282321,0.11334275143894008
train,session,7,artist,15199,15199,9809,0.6453714060135535,0.6453714060135535,0.11334275143894008
train,session,7,exact,15199,15199,0,0.0,0.0,0.11334275143894008
train,session,7,tag,15199,15199,15057,0.990657280084216,0.990657280084216,0.11334275143894008
train,session,8,album,15199,15199,7913,0.5206263569971709,0.5206263569971709,0.10361553152929423
train,session,8,artist,15199,15199,9804,0.6450424370024344,0.6450424370024344,0.10361553152929423
train,session,8,exact,15199,15199,0,0.0,0.0,0.10361553152929423
train,session,8,tag,15199,15199,15051,0.9902625172708731,0.9902625172708731,0.10361553152929423
train,user,1,album,15199,6608,1576,0.10369103230475689,0.23849878934624696,0.023308734000237207
train,user,1,artist,15199,6608,2090,0.13750904664780578,0.31628329297820823,0.023308734000237207
train,user,1,exact,15199,6608,853,0.05612211329692743,0.1290859564164649,0.023308734000237207
train,user,1,tag,15199,6608,6396,0.42081715902362,0.9679176755447942,0.023308734000237207
train,user,2,album,15199,6608,1547,0.10178301204026581,0.2341101694915254,0.022868736090589366
train,user,2,artist,15199,6608,2076,0.13658793341667214,0.3141646489104116,0.022868736090589366
train,user,2,exact,15199,6608,812,0.05342456740575038,0.1228813559322034,0.022868736090589366
train,user,2,tag,15199,6608,6381,0.4198302519902625,0.9656476997578692,0.022868736090589366
train,user,3,album,15199,6608,1479,0.09730903348904534,0.22381961259079902,0.021485772346736126
train,user,3,artist,15199,6608,2047,0.13467991315218106,0.30977602905569007,0.021485772346736126
train,user,3,exact,15199,6608,753,0.049542733074544376,0.11395278450363196,0.021485772346736126
train,user,3,tag,15199,6608,6353,0.41798802552799524,0.961410411622276,0.021485772346736126
train,user,4,album,15199,6608,1480,0.09737482729126916,0.22397094430992737,0.021172340657219405
train,user,4,artist,15199,6608,2016,0.13264030528324233,0.3050847457627119,0.021172340657219405
train,user,4,exact,15199,6608,736,0.04842423843673926,0.11138014527845036,0.021172340657219405
train,user,4,tag,15199,6608,6354,0.41805381933021907,0.9615617433414043,0.021172340657219405
train,user,5,album,15199,6608,1422,0.09355878676228699,0.21519370460048426,0.020625561336757657
train,user,5,artist,15199,6608,1970,0.12961379038094611,0.2981234866828087,0.020625561336757657
train,user,5,exact,15199,6608,654,0.043029146654385154,0.09897094430992737,0.020625561336757657
train,user,5,tag,15199,6608,6335,0.4168037370879663,0.9586864406779662,0.020625561336757657
train,user,6,album,15199,6608,1403,0.09230870452003422,0.21231840193704601,0.019953054707996267
train,user,6,artist,15199,6608,1941,0.12770577011645504,0.2937348668280872,0.019953054707996267
train,user,6,exact,15199,6608,638,0.041976445818803866,0.09654963680387409,0.019953054707996267
train,user,6,tag,15199,6608,6328,0.4163431804723995,0.9576271186440678,0.019953054707996267
train,user,7,album,15199,6608,1375,0.09046647805776696,0.20808111380145278,0.019623243667086284
train,user,7,artist,15199,6608,1912,0.12579774985196396,0.28934624697336564,0.019623243667086284
train,user,7,exact,15199,6608,647,0.04256859003881834,0.09791162227602905,0.019623243667086284
train,user,7,tag,15199,6608,6335,0.4168037370879663,0.9586864406779662,0.019623243667086284
train,user,8,album,15199,6608,1385,0.09112441608000527,0.20959443099273609,0.019705228672154195
train,user,8,artist,15199,6608,1940,0.1276399763142312,0.29358353510895885,0.019705228672154195
train,user,8,exact,15199,6608,625,0.04112112638989407,0.09458232445520581,0.019705228672154195
train,user,8,tag,15199,6608,6338,0.4170011184946378,0.9591404358353511,0.019705228672154195
